#,,,,
#node_part:,THIN,,,
#scalability:,strong_MPI,,,
#performance_measure:,time(s),,,
#threads_affinity_policy:,close,,,
#generations:,5,,,
#threads_per_socket:,12,,,
#,,,,
#,,,,
mat_size,processes,ordered,static,static_in_place
10000x10000,1,12.663311,1.044927,1.106112
10000x10000,2,13.676677,0.534973,0.567947
10000x10000,3,15.461937,0.385313,0.405985
10000x10000,4,17.638820,0.317468,0.315315
10000x10000,1,12.584595,1.039896,1.101890
10000x10000,2,13.728482,0.535721,0.568432
10000x10000,3,15.464891,0.376436,0.405608
10000x10000,4,17.489790,0.328236,0.317786
10000x10000,1,12.664111,1.050081,1.101471
10000x10000,2,13.748526,0.539942,0.561685
10000x10000,3,15.427227,0.381420,0.426818
10000x10000,4,17.485221,0.301232,0.330749
10000x10000,1,12.592865,1.042217,1.117326
10000x10000,2,13.718075,0.529471,0.568229
10000x10000,3,15.473053,0.375859,0.409843
10000x10000,4,17.537988,0.305656,0.316007
10000x10000,1,12.584624,1.040357,1.109622
10000x10000,2,13.693217,0.533004,0.567599
10000x10000,3,15.536738,0.376369,0.400628
10000x10000,4,17.472703,0.309546,0.319613
20000x20000,1,49.254104,4.050424,4.365626
20000x20000,2,50.008922,2.059120,2.189928
20000x20000,3,50.278161,1.375692,1.462482
20000x20000,4,51.395719,1.084572,1.139616
20000x20000,1,49.189431,4.058661,4.352438
20000x20000,2,49.990590,2.058414,2.185610
20000x20000,3,50.319719,1.374909,1.452529
20000x20000,4,51.385944,1.056814,1.136733
20000x20000,1,49.203046,4.051142,4.360058
20000x20000,2,49.857108,2.060965,2.189275
20000x20000,3,50.412269,1.372162,1.452765
20000x20000,4,51.416799,1.079257,1.137794
20000x20000,1,49.218843,4.055434,4.339300
20000x20000,2,49.888486,2.063383,2.193435
20000x20000,3,50.325893,1.395232,1.460404
20000x20000,4,51.493847,1.056832,1.115447
20000x20000,1,49.208960,4.261950,4.311510
20000x20000,2,49.815470,2.094764,2.212658
20000x20000,3,50.299117,1.385202,1.483952
20000x20000,4,51.441040,1.050858,1.117413
30000x30000,1,109.928367,9.270819,9.708731
30000x30000,2,110.684357,4.595248,4.889715
30000x30000,3,110.264861,3.039221,3.239498
30000x30000,4,111.496157,2.303322,2.442084
30000x30000,1,110.025039,9.161859,9.735666
30000x30000,2,110.789798,4.603548,4.894864
30000x30000,3,110.246473,3.079319,3.244083
30000x30000,4,111.464057,2.323870,2.440725
30000x30000,1,110.139338,9.340126,9.741288
30000x30000,2,110.846717,4.591962,4.880664
30000x30000,3,110.274116,3.049207,3.239722
30000x30000,4,111.466331,2.306660,2.460362
30000x30000,1,110.045892,9.284248,9.752201
30000x30000,2,110.742802,4.615956,4.882920
30000x30000,3,110.256183,3.049331,3.234252
30000x30000,4,111.336012,2.329660,2.494533
30000x30000,1,110.027616,9.295626,9.703744
30000x30000,2,110.773572,4.598257,4.875692
30000x30000,3,110.246922,3.034440,3.242164
30000x30000,4,111.430160,2.321696,2.437224
